step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.345432029237371,0.2628537915051685,1.0916418442006648,0.2407875741495037,0.6187135320435919,1.0578709661981898,0.5848667293206319,0.2401634814993922,0.8920150360594253,0.2692370327750761,0.5356904190128722,0.9350703900610801,0.5728878004338049,0.502869014555178,0.8290117821705686,0.6065885013582509,0.35379659283652237,0.8884632037473911,0.3982118689263289,0.09169078537827657,1.0018466583773777,0.09152177592405393,1.1194470050639884,0.1744324470130287,0.9565599829735282,0.394871611841093
0.11,0.34375775880753007,0.5191873697457227,0.753874625587008,0.6886919285039671,0.2723206488513951,1.0870920378781874,0.2505037654244227,0.10907833777249742,0.9107638439730612,0.11976577517247575,0.1849678311209971,1.0326002721458645,0.17912820295564347,0.34116297931969514,0.883768410759138,0.38603210430054125,0.6234079829478535,1.0533457089206404,0.5918360683185936,0.5341640500885728,0.9303190810996637,0.5741729487663262,1.1289725598117433,0.17972498839017262,0.9502519971947948,0.3985901133488529
0.21,0.3593095369468363,0.1177206816097998,1.075293392538609,0.10947773177688616,0.6096765505913522,1.0632278475519683,0.573420412186441,0.4847623312817936,1.0445768210276147,0.46407532842333504,0.45209242273283035,0.8306846221255686,0.544240751172219,0.2473789618594412,0.8836306168323791,0.2799574359999433,0.4600976271178149,0.8297995692744474,0.5544683850825698,0.5015744699424409,0.7302823916739446,0.6868226259608121,1.1104896613464068,0.15583819552533984,0.9224993230035047,0.45892323865745804
0.31,0.35498213239307763,0.06881108701091505,1.0702158398890709,0.06429645726234756,0.3680330951909086,0.900334110471986,0.40877391060744445,0.6136148929188117,1.057668796764429,0.5801578857161653,0.5364745855408108,0.9377916095044153,0.57206161806493,0.4651563544427213,0.8535058648228052,0.5449949128812273,0.44722479095607987,0.8440939778393046,0.5298281976858515,0.5094077005232734,0.7607395136899819,0.6696217185464463,1.1120426205990148,0.16352658450004812,0.9177642447117133,0.48139067153777315
0.41000000000000003,0.35064698349067547,0.14800084487505386,1.0786652709193572,0.13720738848754374,0.627255701373427,1.056202741799245,0.5938781225893192,0.2437582384588543,0.9040105779784237,0.26964091394146517,0.23370153077046352,0.7842030784742104,0.29801149368753604,0.5014655129861871,1.0478612507905503,0.47856098563417687,0.3668494745991722,0.8878781251262328,0.4131754845824318,0.5278516940673763,0.9288520068547655,0.568283957155632,1.1225890472504887,0.16548341511020093,0.9553818645632549,0.394108335154015
0.51,0.3534711535148801,0.11192912923820482,1.0764869623318996,0.10397629804613939,0.6148533228080547,1.0601225474899576,0.5799832521851717,0.3676855661601688,0.881401064916477,0.4171603380068656,0.4933528534993411,0.8490911994557525,0.5810363525326475,0.5332969339874386,0.9350703900610801,0.5703281161032197,0.4515464104263973,0.8267559088040798,0.5461665355129652,0.2027817075100124,1.0101010761788662,0.2007538773021803,1.112558776373452,0.16824293055519476,0.9484327356054446,0.4284863956698842
0.61,0.34967868744663266,0.5024433447061762,0.8502585163852112,0.5909300936405362,0.48607821289326225,0.8444826978273837,0.5755928619305104,0.05665294271474954,1.0773985280727099,0.05258308902286363,0.3699900466431734,0.8916010038647666,0.4149726671901455,0.6173883822448528,1.0617737814837513,0.5814688524160934,0.5265468474931466,0.9304415706499048,0.5659107074562012,0.4945557234861164,0.7491850139095974,0.660124954856336,1.1196836138387676,0.16890948857174318,0.9150201588847607,0.4916547466446694
0.71,0.3514612791724787,0.6165310280587356,1.0563719643721776,0.5836306233525915,0.3695247346176699,0.8829518624946484,0.418510623641059,0.5403159582020141,0.9377916095044153,0.5761578081163992,0.4660578562605515,0.8454975725178309,0.551223174861005,0.2587749782177018,0.9097055506243362,0.28446015091377974,0.09479347441939179,1.0789198269838913,0.08785960925788705,0.5136818395903766,0.7363054125074718,0.6976477842815856,1.1156083507816579,0.1679187365952223,0.9210776855721102,0.4570699677749011
0.81,0.3507491314433534,0.09412896556949711,0.904236627395212,0.10409771371532425,0.24079101419189725,1.114310003748914,0.21608978953953137,0.4656463597172714,1.0591481319522726,0.43964233677018316,0.22323525987064677,0.7518389798526248,0.29691897580836424,0.43589150791452613,0.8390319191178127,0.5195171935447195,0.6177851037095896,1.0626588443854448,0.5813578901391124,0.3466610255597705,0.8534495747139007,0.40618805824114523,1.1107853393493172,0.16293810852985366,0.9406677258808831,0.36625885110833994
0.91,0.3535408657652347,0.6137074962803516,1.058491263850386,0.5797945786041905,0.36931298159388887,0.8526493395959893,0.43313583256732524,0.11527941199969308,0.7784608894583044,0.1480863246449167,0.47577352078296853,0.8272264117091489,0.5751430491683207,0.16600701662614603,1.1151957711279235,0.1488590801041546,0.443662623843507,0.8407832674655066,0.5276777512246441,0.4923908478506096,1.0377785444819698,0.4744662052118233,1.109293376929989,0.1675126461594725,0.9300836410984613,0.41245183164648214
