step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.30916982866416176,0.22621546673703308,0.8321565464614513,0.2718424408231369,0.05563509417324827,1.0023559672999198,0.05550432779196637,0.5319799216360053,0.9265096092820522,0.574176367202747,0.28254528834079295,1.085408274679224,0.26031245102152456,0.6173891951926842,1.0544214218574317,0.5855241390156064,0.33271039989974543,0.8939104088890805,0.37219658322720045,1.1200362261282875,0.18750936392800488,0.9657937047448599,0.3532593848470303
0.11,0.318404114478876,0.20807876737018913,1.0084496804000667,0.20633530002968642,0.3906226164839257,0.8982541559023391,0.4348686993733156,0.18865100823136757,0.8110194147387058,0.23260973141086536,0.6096365021498227,1.0541324384907367,0.5783300844272234,0.44945960318757816,0.8417460834302194,0.5339610270070693,0.11545902257832197,1.080074415043247,0.1068991367355914,1.0987948238680567,0.17173616920793122,0.9489460313342191,0.34883399649729196
0.21,0.31627573424240607,0.2691297748841941,1.0901899008928126,0.24686504127747824,0.6109560450660578,1.060017311052404,0.5763642147122011,0.3458217086237937,0.8805402464523445,0.39273810597197933,0.43957285875712654,0.8445859345921995,0.5204596012712077,0.005433191581225682,1.000423078299489,0.005430893887874894,0.46283401693778686,0.8306375457216908,0.5572033425670138,1.0918575648324027,0.18883272582256824,0.9510656695018236,0.38317686661462586
0.31,0.3152125023206621,0.27769880788969087,1.091359565487704,0.2544521683516775,0.6155056966143803,1.0543297746604423,0.5837885938605976,0.34338016706081775,0.8775913163034412,0.3912757119192922,0.46869035028256656,0.8458949082539137,0.5540763346714448,0.22135292107403617,0.7742429151828424,0.2858959594376944,0.02787030612676181,1.0413658613778976,0.026763222379774226,1.0961208119175592,0.18558066953168856,0.9474640568777067,0.34937533177008007
0.41000000000000003,0.3227344870273161,0.5974096604541054,1.0497964474119723,0.5690719014403975,0.03244119797312356,1.074239496073569,0.03019922288437422,0.497165085394058,0.7545892423512045,0.6588552519579455,0.37050415151302163,0.8996739490137557,0.41182047331611327,0.4747048882104982,0.8292988974426543,0.5724171220706632,0.4297926559456369,0.8461930900479407,0.5079132186263624,1.0927522109582806,0.1783483716766578,0.9089651870568495,0.458379531715976
0.51,0.3172548162806477,0.22056938819278035,0.8269528385906326,0.26672547441604355,0.07612743869590707,1.0729702644823957,0.07095018493604871,0.6155389580382123,1.0507839083502502,0.5857902401689988,0.4534883092462635,0.8370219048731644,0.5417878631443719,0.5424232573035672,0.9350703900610801,0.5800881549335932,0.3671461622182106,0.8932347290606997,0.4110298785676315,1.1152166844299571,0.18492279004474638,0.9360056725697038,0.4093952993611146
0.61,0.32417687835901576,0.12646048196276785,1.0750477616159344,0.11763243130024434,0.606649883932939,1.058620339828658,0.5730570829870203,0.22327760493266222,0.7752804813397256,0.28799590639355027,0.4488956985344995,0.8409337140908086,0.5338062810572788,0.2536150992690492,0.8729163146876558,0.29053770103929943,0.4954863469368591,1.0429102185655093,0.4750997143535378,1.1070879007997299,0.1691357310377513,0.944284805021382,0.3796881861884885
0.71,0.3172882450629695,0.6106568699432784,1.058158191404619,0.5770941196728638,0.38633690559470507,0.8848024732049377,0.4366363310393029,0.19359938543943986,0.803313348569079,0.24100108106543153,0.45898620454778954,0.8440139786381657,0.5438135103975096,0.26435030706833373,0.9058821457808333,0.29181534076982457,0.10064918425674232,1.08132825456215,0.09307921422759553,1.0990181013051228,0.17024349726613577,0.929583065359964,0.36390659952875465
0.81,0.3107456440019328,0.26616158301121756,1.0997739443126324,0.24201481075965178,0.028995649116155188,0.9693061031177916,0.02991382084863608,0.5279240829125219,0.9265096092820522,0.569798820890382,0.3389035647814377,0.8460837748775215,0.4005555653522574,0.6154426906799776,1.0520669393871322,0.5849843461847548,0.46368277416967085,0.8421049992558829,0.5506234668828699,1.1100494800854002,0.19231817844128488,0.9559742283721689,0.39631513848642536
0.91,0.3199192056051896,0.6090221262834218,1.0542558180208403,0.5776796446110604,0.3772583509280189,0.8612715417994332,0.4380248651195678,0.12150309180900729,0.7859361529597856,0.15459664420759164,0.4763410296001899,0.8392770570451613,0.5675611237095429,0.11174005395773162,1.095003492694112,0.10204538588530886,0.45560042283557206,0.8421881788449829,0.5409722367041583,1.1013185494560982,0.18415852829960933,0.9129887068940525,0.39681331670620495
1.01,0.3130473391129996,0.47580975918743745,1.0377746125444927,0.45849045971630764,0.10010544569954417,1.0828170533893247,0.09244908489961828,0.44443380773057717,0.8398190794351562,0.529201846699522,0.07653457534991064,0.7604553977955143,0.10064308251578839,0.383894101301077,0.8664451950233004,0.4430679557184841,0.6124418826609059,1.0572937050741835,0.5792542599295385,1.1031390720202927,0.19663560028960175,0.9407675072103286,0.36718444824654317
