step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.39029451123534986,0.09619788574171588,1.0742267659159201,0.08955081812702226,0.6176113639363434,1.062265803875002,0.5814094379046946,0.4577709733279652,0.8296449929124394,0.5517672947328668,0.46674500943769126,0.8376405534818867,0.5572139594931685,0.5164931846500136,0.745755609582489,0.6925770024568398,0.4891261712874079,1.0482758072465612,0.46660064832762305,0.5252882382350526,0.9350703900610801,0.5617633108890765,0.36625568083122056,0.8988128989976992,0.4074882339134722,1.11739087648575,0.1465109649701764,0.9289616027591348,0.48854633823059546
0.11,0.39029451123534986,0.5164931846500136,0.745755609582489,0.6925770024568398,0.09619788574171588,1.0742267659159201,0.08955081812702226,0.6176113639363434,1.062265803875002,0.5814094379046946,0.4577709733279652,0.8296449929124394,0.5517672947328668,0.5252882382350526,0.9350703900610801,0.5617633108890765,0.36625568083122056,0.8988128989976992,0.4074882339134722,0.4891261712874079,1.0482758072465612,0.46660064832762305,0.46674500943769126,0.8376405534818867,0.5572139594931685,1.1173908764857503,0.1465109649701764,0.9289616027591348,0.4885463382305955
0.21,0.39027650846453926,0.5115834816969123,0.7440976655994385,0.6875219549100253,0.36623440781721334,0.8988128989976992,0.40746456601325526,0.6176152514587249,1.062265803875002,0.5814130975559488,0.09683432868089917,1.0745435815491167,0.09011670661258604,0.4506599569642403,0.8328387073873865,0.5411131266676591,0.48910577890404666,1.0482758072465612,0.4665811950661624,0.5252997905952,0.9350703900610801,0.5617756654243824,0.47501174568016513,0.8330589053642928,0.5702018700255592,1.1174620444351282,0.14615199823245625,0.9286204700100721,0.4882735227844473
0.31,0.390325687835882,0.5252959487616238,0.9350703900610801,0.5617715568207766,0.6162110575664689,1.0617715988830683,0.5803612172473748,0.3654557936536106,0.8986428447545486,0.40667523898599517,0.09708712744248418,1.0743506352272878,0.09036819475789168,0.48912331867692505,1.0482758072465612,0.4665979270872175,0.4776715530519741,0.8160173252895058,0.5853693766642838,0.4485862939828389,0.8448570272057149,0.5309611917018621,0.515174984170675,0.7421085128131808,0.694204385579344,1.1175791706669715,0.14620293875257637,0.9276367676851184,0.4895386361055932
0.41000000000000003,0.38893000936040883,0.3694400429969899,0.8937197719205494,0.41337346963141,0.5198959291397776,0.7589543623477971,0.685016062799216,0.47269200203348505,0.8304592108083755,0.5691935207430151,0.4719010395153719,0.8433397247232695,0.5595622092511056,0.6180800004277622,1.057857076966577,0.5842755263311346,0.10047979378330063,1.0942517586071827,0.09182511519213479,0.5009555041815676,0.8463187522360236,0.5919229638454943,0.5375149175520315,0.9418864658994389,0.570679096698497,1.1196966933794528,0.14706728835288657,0.9083483904386518,0.5082309955615009
0.51,0.3889041905234876,0.10084527635916771,1.0942537884840402,0.09215894650808289,0.3694150664992573,0.8937197719205494,0.4133455229544791,0.618063356132501,1.057857076966577,0.5842597923575915,0.46203679490013844,0.8509343778988124,0.5429758238714394,0.5375608486911906,0.9418864658994389,0.570727861746963,0.516617153121459,0.7575202259026333,0.6819846328272976,0.5009567415584498,0.8463187522360236,0.5919244259150501,0.48193693032299895,0.8276993097964099,0.5822608822055699,1.1196666005360778,0.14683949110968164,0.9087737211380607,0.5074547360483093
0.61,0.390023071428613,0.5150816289449526,0.7421085128131808,0.6940785883083109,0.6183683014386131,1.0585538394494174,0.5841632975043038,0.09616687937208801,1.0782388737811126,0.08918884461553027,0.4861691291074472,1.0462650328805496,0.4646711051490835,0.4776411707663146,0.8160173252895058,0.585332144261591,0.5252981058353062,0.9350703900610801,0.5617738636777848,0.4484387041032667,0.8448570272057149,0.5307864995648264,0.36841991509236777,0.8862754659868918,0.4156945884563353,1.1173818728291325,0.14648485125458707,0.9259233084334315,0.49071111644222076
0.71,0.38416993272560607,0.4889363951816383,0.815367473122512,0.5996515820151852,0.6217651455024313,1.0608561335744777,0.5860975167362599,0.340555760538547,0.8756919709380967,0.3888990328114144,0.0847416060184065,1.0397586670940338,0.08150122590970682,0.26901217295696683,1.0913310010275803,0.24649915809563658,0.5157575975046355,0.7438754753466968,0.6933386226562411,0.5318139398409859,0.9356446312533907,0.5683930865167979,0.47403179433126696,0.8478125681802295,0.559123339429543,1.1167963502351834,0.16256548184063838,0.9262922400671272,0.4654379455213481
0.81,0.38171283411239276,0.5265811607407004,0.7450890697825775,0.706735854941961,0.6304974051789078,1.0593695377330865,0.5951628612316818,0.1057373269826323,0.8745868839528542,0.12089974012042491,0.4467000831062757,1.056168578420991,0.42294392413577375,0.3395679552070038,0.8526597645631874,0.3982455480128847,0.4759171007013277,0.8110910737768653,0.5867616055558449,0.5341888977433825,0.9356446312533907,0.570931398417562,0.2359368116988244,1.1024679580374344,0.21400786297574478,1.1293025826840293,0.1624542065001789,0.9296346871900484,0.4519610994239847
0.91,0.3834325421485821,0.26572735154998406,1.0962435175441974,0.242398105254265,0.6203392338639449,1.0567057033344467,0.5870501426333343,0.3440221457376092,0.853862170323828,0.4029012616955948,0.0789170495128612,1.0432208749774001,0.07564749844041496,0.47086160032692587,0.8462170736355872,0.5564312219605445,0.5278897601727169,0.7960200313622742,0.6631614021939992,0.5091165032928154,0.7404034627454501,0.6876203703923642,0.5311981986522026,0.9356446312533907,0.5677349935098851,1.1161829644302048,0.16604298400603504,0.9210396831470717,0.4728681245100503
