step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.28533760306021466,0.07792426890507301,1.0685576409530955,0.07292472199774716,0.6059839936797025,1.0606920582739814,0.571310013073723,0.2286851176676247,0.8792501566226542,0.26009107413303423,0.3740078183336218,0.8932357234423739,0.4187112186828592,0.22841078679314994,0.826274609950389,0.2764344735303728,1.0982589719033882,0.1780936539311159,0.9456020378484988,0.31989430028354726
0.11,0.2871877096613258,0.11272498702335086,0.8717628694318672,0.12930693767310183,0.38275398617436673,0.8955963744101932,0.4273733091276016,0.44110927816883577,0.8513851018796008,0.5181078188883032,0.6088139975152645,1.0578899936310358,0.5754983988700085,0.07955588919158671,1.064652765296057,0.07472472883632059,1.085584444393647,0.2013309538525046,0.9482574209297507,0.34500223867906715
0.21,0.27874354840950766,0.6038460891875945,1.0528393547573835,0.573540575263493,0.2788287753987757,1.086957359783453,0.25652227558799995,0.3322227182195904,0.8946950281999295,0.3713250970981718,0.4547440960592229,0.8405317604363919,0.5410195277131781,-0.0013417772503812125,0.9680293070841433,-0.0013860915579331549,1.0855872702835225,0.20144309411844538,0.9686105620522604,0.348204276820982
0.31,0.27766554706890084,0.057948891780790546,0.929069685355723,0.06237303045637855,0.6143443614281953,1.0520644056272435,0.5839417797448642,0.35561741995476415,0.8791008022730865,0.40452405348197384,0.5416843698215371,0.9288520068547655,0.5831761850370146,0.1614475197202149,1.080872108238228,0.14936782852447453,1.1237427526983368,0.21327278551455198,0.9739918016698093,0.35667657544894116
0.41000000000000003,0.28774115694436336,0.2218359357084243,0.7999457762174633,0.27731371588381104,0.5928410907208214,1.0456408240870572,0.5669643696614728,0.0414706354772605,1.0739272874418062,0.038615869027825316,0.38216665718925824,0.897253384506614,0.4259294685184229,0.4398490558428516,0.8403192162657024,0.5234309145011564,1.0846084885929614,0.18903102286215348,0.9314172977037286,0.3664508675185377
0.51,0.2911414365521275,0.6115466904994161,1.0562092869900372,0.5790014327957567,0.009203930771831556,1.0355776331644817,0.008887726498791316,0.4478545354786523,0.884054719578548,0.5065914196941975,0.268053379138097,0.9905219046451721,0.2706183254312987,0.4489959457866236,0.8204501750276614,0.5472555914458618,1.0865126595357095,0.20512695569645945,0.9573627438811801,0.3824708991731812
0.61,0.2875929456052875,0.2215222403349092,0.7708368344820007,0.28737889839394,0.040987786419742746,1.0791333145370596,0.03798213424383642,0.43996548717549466,0.8403192162657024,0.5235694705765017,0.3797573214543147,0.8953575631146039,0.42414040725057967,0.5936769141376524,1.044482097988582,0.5683935754197506,1.0847048874936223,0.18934356887608542,0.9260258052775898,0.36829289717692165
0.71,0.287373992454829,0.21754817627672984,0.7582117509428576,0.28692271783733575,0.3795952758207975,0.8889253719750648,0.4270271586211913,0.041797519221997835,1.079596728664852,0.038715863166507776,0.44012834786296856,0.8403192162657024,0.5237632786964656,0.5925070097628115,1.0477003468226407,0.5655309856102526,1.0849230945819215,0.189267456025865,0.9229506829342234,0.3683920007863506
0.81,0.2809212097043159,0.1196826417069318,1.0880905718604106,0.10999327151810455,0.10102183137558829,0.7961816280595166,0.12688289683574142,0.21327033342542187,0.8336320073479156,0.2558327074123651,0.6038292843108464,1.0502572852131487,0.5749346306017766,0.38318422010047676,0.8584803600342381,0.44635176055185993,1.1030962337139942,0.18847385783250714,0.9253283705030458,0.3027990533839695
0.91,0.28065966713832147,0.17894108568024142,1.11006124519907,0.1611992909888062,0.029342489016150535,0.9028754886621025,0.032498931895505075,0.36415551923920464,0.8415219529606758,0.43273442595052725,0.4465916415558346,0.8387650009478869,0.5324395284151605,0.5927559462884866,1.0517936011670057,0.5635667926015151,1.087767315815786,0.19835452132670525,0.9490034577873482,0.3444877939703028
1.01,0.27854463506274313,0.1639010950225796,0.7389475282014845,0.22180342821024995,0.11022602288490968,0.8509496034048446,0.12953296228574532,0.6021416168432356,1.0431142272981786,0.5772537667354727,0.14562396984880108,1.0904130909691867,0.13354935946281313,0.3628946968926191,0.8481399847178054,0.4278712281361927,1.1071186279223741,0.18491054267739748,0.9143128869183,0.2980021489660948
1.11,0.27610245132547906,0.2226181915811771,1.0949029629572424,0.2033223026266216,0.6004461856909555,1.0462081024243641,0.5739261474839944,0.33246974611658375,0.8236849225040324,0.40363704255489286,0.46700063028037775,1.032057091362788,0.4524949580683788,0.017194280147362,0.8038819534854856,0.02138906100928219,1.1091448864012512,0.20063578160459966,0.9601470065467824,0.330953902348634
1.21,0.2676404452919899,0.13440500209465342,1.0702358491837076,0.12558447018679766,0.600175374536021,1.0434030944900536,0.5752095021621025,0.05554505827786905,0.7361311873015625,0.07545537974213629,0.33571088239425345,0.7631200061548451,0.4399188590085714,0.5498964034157123,0.9317741234838524,0.5901606296595572,1.1260590322532749,0.2167174469565113,0.9089328521228042,0.36126576815183303
1.31,0.2539627299942878,0.33409288843446217,0.7152917979449265,0.4670721646666854,0.5929180176271546,1.0196024736130658,0.5815188104890417,0.008891315445406691,0.5647182408275996,0.015744693198463697,0.4495723949671148,0.8455461480914725,0.5316946874891083,0.08584275661755908,0.969861852170697,0.08851029290968611,1.0902303801301123,0.21898778227454832,0.8230041025295524,0.33690812975059703
1.41,0.2225664320897333,0.2818858140928579,0.6404500825930347,0.4401370563519443,-0.015235399423846607,0.5165899082547135,-0.029492251359146824,0.008769581982044094,0.734611742003298,0.011937710059097752,0.5991666878650739,0.9703019504576234,0.6175053936380206,0.4728440670392323,0.8122048287997667,0.5821734250681275,1.0912657581604077,0.2446372582762212,0.7348317024216874,0.32445226675160865
